dip,dib,rm,ind_corr,v_corr,perc_juros,v_juros,rm_atual,v_ant,v_atual,soma,parcelas,p_ant,p_atual
01/08/2024,01/01/2010,637.5,2.01149181,1282.326028875,0.3083,395.34111470216254,1677.6671435771625,71943.51825552963,12776.48174447036,84720.0,156,168,7
01/08/2024,01/02/2010,637.5,2.00108616,1275.692427,0.3083,393.2959752441,1668.9884022441,71943.51825552963,12776.48174447036,84720.0,155,167,7
01/08/2024,01/03/2010,637.5,1.98245112,1263.812589,0.3083,389.63342118869997,1653.4460101886998,71943.51825552963,12776.48174447036,84720.0,154,166,7
01/08/2024,01/04/2010,637.5,1.97160728,1256.899641,0.3083,387.5021593203,1644.4018003203,71943.51825552963,12776.48174447036,84720.0,153,165,7
01/08/2024,01/05/2010,637.5,1.96218878,1250.89534725,0.3083,385.651035557175,1636.546382807175,71943.51825552963,12776.48174447036,84720.0,152,164,7
01/08/2024,01/06/2010,637.5,1.94990438,1243.06404225,0.3083,383.23664422567504,1626.300686475675,71943.51825552963,12776.48174447036,84720.0,151,163,7
01/08/2024,01/07/2010,637.5,1.94620659,1240.706701125,0.3083,382.50987595683756,1623.2165770818376,71943.51825552963,12776.48174447036,84720.0,150,162,7
01/08/2024,01/08/2010,637.5,1.94795975,1241.824340625,0.3083,382.85444421468753,1624.6787848396875,71943.51825552963,12776.48174447036,84720.0,149,161,7
01/08/2024,01/09/2010,637.5,1.94893422,1242.44556525,0.3083,383.045967766575,1625.491533016575,71943.51825552963,12776.48174447036,84720.0,148,160,7
01/08/2024,01/10/2010,637.5,1.94291119,1238.605883625,0.3083,381.8621939215875,1620.4680775465874,71943.51825552963,12776.48174447036,84720.0,147,159,7
01/08/2024,01/11/2010,637.5,1.93093937,1230.973848375,0.3083,379.5092374540125,1610.4830858290125,71943.51825552963,12776.48174447036,84720.0,146,158,7
01/08/2024,01/12/2010,1275,1.91447488,2440.955472,0.3083,752.5465720176,3193.5020440176004,71943.51825552963,12776.48174447036,84720.0,145,157,7
01/08/2024,01/01/2011,675,1.90135553,1283.41498275,0.3083,395.676839181825,1679.091821931825,71943.51825552963,12776.48174447036,84720.0,156,156,7
01/08/2024,01/02/2011,675,1.88701422,1273.7345985,0.3083,392.69237671755,1666.42697521755,71943.51825552963,12776.48174447036,84720.0,155,155,7
