dip,dib,rm,ind_corr,v_corr,perc_juros,v_juros,rm_atual,v_ant,v_atual,soma,parcelas,p_ant,p_atual
01/09/2024,01/01/2010,510,2.01149181,1025.8608230999998,0.3173,325.50563916963,1351.36646226963,72985.57423468852,11734.42576531148,84720.0,168,168,8
01/09/2024,01/02/2010,510,2.00108616,1020.5539415999999,0.3173,323.82176566968,1344.3757072696799,72985.57423468852,11734.42576531148,84720.0,167,167,8
01/09/2024,01/03/2010,510,1.98245112,1011.0500711999999,0.3173,320.80618759176,1331.85625879176,72985.57423468852,11734.42576531148,84720.0,166,166,8
01/09/2024,01/04/2010,510,1.97160728,1005.5197128,0.3173,319.05140487144,1324.5711176714399,72985.57423468852,11734.42576531148,84720.0,165,165,8
01/09/2024,01/05/2010,510,1.96218878,1000.7162778,0.3173,317.52727494594,1318.24355274594,72985.57423468852,11734.42576531148,84720.0,164,164,8
01/09/2024,01/06/2010,510,1.94990438,994.4512338,0.3173,315.53937648474,1309.99061028474,72985.57423468852,11734.42576531148,84720.0,163,163,8
01/09/2024,01/07/2010,510,1.94620659,992.5653609000001,0.3173,314.94098901357006,1307.5063499135701,72985.57423468852,11734.42576531148,84720.0,162,162,8
01/09/2024,01/08/2010,510,1.94795975,993.4594725000001,0.3173,315.22469062425006,1308.68416312425,72985.57423468852,11734.42576531148,84720.0,161,161,8
01/09/2024,01/09/2010,510,1.94893422,993.9564522,0.3173,315.38238228306,1309.33883448306,72985.57423468852,11734.42576531148,84720.0,160,160,8
01/09/2024,01/10/2010,510,1.94291119,990.8847069,0.3173,314.40771749937,1305.29242439937,72985.57423468852,11734.42576531148,84720.0,159,159,8
01/09/2024,01/11/2010,510,1.93093937,984.7790787,0.3173,312.47040167151005,1297.2494803715101,72985.57423468852,11734.42576531148,84720.0,158,158,8
01/09/2024,01/12/2010,1020,1.91447488,1952.7643776,0.3173,619.61213701248,2572.37651461248,72985.57423468852,11734.42576531148,84720.0,157,157,8
01/09/2024,01/01/2011,540,1.90135553,1026.7319862,0.3173,325.78205922126,1352.5140454212599,72985.57423468852,11734.42576531148,84720.0,156,156,8
01/09/2024,01/02/2011,540,1.88701422,1018.9876788,0.3173,323.32479048324,1342.31246928324,72985.57423468852,11734.42576531148,84720.0,155,155,8
01/09/2024,01/03/2011,545,1.86888603,1018.54288635,0.3173,323.183657838855,1341.726544188855,72985.57423468852,11734.42576531148,84720.0,154,154,8
01/09/2024,01/04/2011,545,1.85773959,1012.46807655,0.3173,321.256120689315,1333.724197239315,72985.57423468852,11734.42576531148,84720.0,153,153,8
01/09/2024,01/05/2011,545,1.8435443,1004.7316435,0.3173,318.80135048255005,1323.5329939825501,72985.57423468852,11734.42576531148,84720.0,152,152,8
01/09/2024,01/06/2011,545,1.8307292,997.7474139999999,0.3173,316.5852544622,1314.3326684622,72985.57423468852,11734.42576531148,84720.0,151,151,8
01/09/2024,01/07/2011,545,1.82652818,995.4578581,0.3173,315.85877837513,1311.31663647513,72985.57423468852,11734.42576531148,84720.0,150,150,8
01/09/2024,01/08/2011,545,1.82470348,994.4633966,0.3173,315.54323574118,1310.00663234118,72985.57423468852,11734.42576531148,84720.0,149,149,8
01/09/2024,01/09/2011,545,1.81979004,991.7855718,0.3173,314.69356193214,1306.4791337321399,72985.57423468852,11734.42576531148,84720.0,148,148,8
01/09/2024,01/10/2011,545,1.81019601,986.55682545,0.3173,313.03448071528504,1299.591306165285,72985.57423468852,11734.42576531148,84720.0,147,147,8
01/09/2024,01/11/2011,545,1.80262498,982.4306141000001,0.3173,311.72523385393004,1294.15584795393,72985.57423468852,11734.42576531148,84720.0,146,146,8
01/09/2024,01/12/2011,1090,1.79437087,1955.8642483,0.3173,620.5957259855901,2576.4599742855903,72985.57423468852,11734.42576531148,84720.0,145,145,8
01/09/2024,01/01/2012,622,1.78437836,1109.88333992,0.3173,352.165983756616,1462.049323676616,72985.57423468852,11734.42576531148,84720.0,144,144,8
01/09/2024,01/02/2012,622,1.7728548,1102.7156856,0.3173,349.89168704088,1452.60737264088,72985.57423468852,11734.42576531148,84720.0,143,143,8
01/09/2024,01/03/2012,622,1.76350821,1096.90210662,0.3173,348.047038430526,1444.949145050526,72985.57423468852,11734.42576531148,84720.0,142,142,8
01/09/2024,01/04/2012,622,1.75911043,1094.16668746,0.3173,347.17908993105806,1441.3457773910582,72985.57423468852,11734.42576531148,84720.0,141,141,8
01/09/2024,01/05/2012,622,1.75157864,1089.48191408,0.3173,345.692611337584,1435.174525417584,72985.57423468852,11734.42576531148,84720.0,140,140,8
01/09/2024,01/06/2012,622,1.74269092,1083.95375224,0.3173,343.9385255857521,1427.8922778257522,72985.57423468852,11734.42576531148,84720.0,139,139,8
01/09/2024,01/07/2012,622,1.73955971,1082.0061396199999,0.3173,343.32054810142597,1425.326687721426,72985.57423468852,11734.42576531148,84720.0,138,138,8
01/09/2024,01/08/2012,622,1.73383805,1078.4472670999999,0.3173,342.19131785083,1420.63858495083,72985.57423468852,11734.42576531148,84720.0,137,137,8
01/09/2024,01/09/2012,622,1.72710235,1074.2576617,0.3173,340.86195605741,1415.11961775741,72985.57423468852,11734.42576531148,84720.0,136,136,8
01/09/2024,01/10/2012,622,1.71885186,1069.12585692,0.3173,339.233634400716,1408.359491320716,72985.57423468852,11734.42576531148,84720.0,135,135,8
01/09/2024,01/11/2012,622,1.70775147,1062.2214143400001,0.3173,337.04285477008204,1399.2642691100823,72985.57423468852,11734.42576531148,84720.0,134,134,8
01/09/2024,01/12/2012,1244,1.69857915,2113.0324626,0.3173,670.4652003829801,2783.4976629829803,72985.57423468852,11734.42576531148,84720.0,133,133,8
01/09/2024,01/01/2013,678,1.68693927,1143.74482506,0.3173,362.91023299153807,1506.6550580515382,72985.57423468852,11734.42576531148,84720.0,132,132,8
01/09/2024,01/02/2013,678,1.6722237,1133.7676686,0.3173,359.74448124678,1493.51214984678,72985.57423468852,11734.42576531148,84720.0,131,131,8
01/09/2024,01/03/2013,678,1.66092938,1126.11011964,0.3173,357.31474096177203,1483.424860601772,72985.57423468852,11734.42576531148,84720.0,130,130,8
01/09/2024,01/04/2013,678,1.65283051,1120.61908578,0.3173,355.572435917994,1476.191521697994,72985.57423468852,11734.42576531148,84720.0,129,129,8
01/09/2024,01/05/2013,678,1.64444384,1114.93292352,0.3173,353.76821663289604,1468.7011401528962,72985.57423468852,11734.42576531148,84720.0,128,128,8
01/09/2024,01/06/2013,678,1.63691404,1109.82771912,0.3173,352.14833527677604,1461.976054396776,72985.57423468852,11734.42576531148,84720.0,127,127,8
01/09/2024,01/07/2013,678,1.63071731,1105.62633618,0.3173,350.815236469914,1456.441572649914,72985.57423468852,11734.42576531148,84720.0,126,126,8
01/09/2024,01/08/2013,678,1.62957661,1104.8529415799999,0.3173,350.569838363334,1455.4227799433338,72985.57423468852,11734.42576531148,84720.0,125,125,8
01/09/2024,01/09/2013,678,1.62697345,1103.0879991,0.3173,350.00982211443,1453.09782121443,72985.57423468852,11734.42576531148,84720.0,124,124,8
01/09/2024,01/10/2013,678,1.62259245,1100.1176811,0.3173,349.06734021303004,1449.1850213130301,72985.57423468852,11734.42576531148,84720.0,123,123,8
01/09/2024,01/11/2013,678,1.61484121,1094.86234038,0.3173,347.39982060257404,1442.262160982574,72985.57423468852,11734.42576531148,84720.0,122,122,8
01/09/2024,01/12/2013,1356,1.60568879,2177.31399924,0.3173,690.8617319588521,2868.175731198852,72985.57423468852,11734.42576531148,84720.0,121,121,8
01/09/2024,01/01/2014,724,1.59373577,1153.8646974800001,0.3173,366.1212685104041,1519.985965990404,72985.57423468852,11734.42576531148,84720.0,120,120,8
